都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
12,千葉県,12101,千葉市中央区,1.21E+11,青葉町,35.59724,140.139851,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,赤井町,35.571702,140.161109,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,旭町,35.608093,140.134237,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,市場町,35.604414,140.123915,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,稲荷町一丁目,35.590521,140.124859,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,稲荷町二丁目,35.58881,140.125214,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,稲荷町三丁目,35.586319,140.126492,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,亥鼻一丁目,35.60455,140.13291,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,亥鼻二丁目,35.602758,140.128385,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,亥鼻三丁目,35.602764,140.130924,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,今井一丁目,35.583359,140.128017,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,今井二丁目,35.580695,140.129131,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,今井三丁目,35.577317,140.130364,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,今井町,35.574306,140.141851,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,院内一丁目,35.612823,140.123135,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,院内二丁目,35.612913,140.125345,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,鵜の森町,35.57487,140.139365,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,大森町,35.580108,140.1477,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,生実町,35.564164,140.148487,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,春日一丁目,35.619396,140.103928,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,春日二丁目,35.621811,140.101911,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,葛城一丁目,35.599696,140.128475,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,葛城二丁目,35.599713,140.131772,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,葛城三丁目,35.599272,140.134293,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,要町,35.615555,140.120945,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,亀井町,35.60748,140.129729,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,亀岡町,35.606447,140.133321,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,川崎町,35.578899,140.094327,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,川戸町,35.584833,140.167516,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,栄町,35.613083,140.12032,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,寒川町一丁目,35.596743,140.120322,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,寒川町二丁目,35.594259,140.120348,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,寒川町三丁目,35.592531,140.122791,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,塩田町,35.561776,140.131666,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,汐見丘町,35.617068,140.105819,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,白旗一丁目,35.578211,140.137988,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,白旗二丁目,35.578437,140.140478,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,白旗三丁目,35.581265,140.140466,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新宿一丁目,35.605097,140.113564,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新宿二丁目,35.606898,140.115602,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新千葉一丁目,35.612925,140.113694,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新千葉二丁目,35.613775,140.109739,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新千葉三丁目,35.614859,140.107004,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,新田町,35.607744,140.111059,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,新町,35.610491,140.11344,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,神明町,35.60172,140.116188,0,1
12,千葉県,12101,千葉市中央区,1.21E+11,末広一丁目,35.597802,140.124971,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,末広二丁目,35.596254,140.125955,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,末広三丁目,35.593264,140.127429,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,末広四丁目,35.590632,140.128841,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,末広五丁目,35.587598,140.130363,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我一丁目,35.574789,140.131093,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我二丁目,35.57182,140.1316,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我三丁目,35.567577,140.132251,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我四丁目,35.567448,140.136028,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我五丁目,35.571761,140.136632,0,3
12,千葉県,12101,千葉市中央区,1.21E+11,蘇我町二丁目,35.565901,140.112403,0,3
