都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード
13,東京都,13101,千代田区,1.3101E+11,内幸町二丁目,35.670812,139.754182,0,3
13,東京都,13101,千代田区,1.3101E+11,内幸町一丁目,35.670839,139.758119,0,3
13,東京都,13101,千代田区,1.3101E+11,霞が関三丁目,35.671825,139.746988,0,3
13,東京都,13101,千代田区,1.3101E+11,北の丸公園,35.691555,139.751639,0,1
13,東京都,13101,千代田区,1.3101E+11,富士見一丁目,35.697871,139.746978,0,3
13,東京都,13101,千代田区,1.3101E+11,永田町一丁目,35.675895,139.746306,0,3
13,東京都,13101,千代田区,1.3101E+11,千代田,35.684052,139.752145,0,1
13,東京都,13101,千代田区,1.3101E+11,三番町,35.690557,139.743591,0,1
13,東京都,13101,千代田区,1.3101E+11,九段南二丁目,35.693143,139.745694,0,3
13,東京都,13101,千代田区,1.3101E+11,富士見二丁目,35.698126,139.743057,0,3
13,東京都,13101,千代田区,1.3101E+11,飯田橋四丁目,35.700887,139.746708,0,3
13,東京都,13101,千代田区,1.3101E+11,九段北二丁目,35.695258,139.746356,0,3
13,東京都,13101,千代田区,1.3101E+11,飯田橋三丁目,35.701392,139.748628,0,3
13,東京都,13101,千代田区,1.3101E+11,丸の内二丁目,35.680022,139.763447,0,3
13,東京都,13101,千代田区,1.3101E+11,神田神保町二丁目,35.696637,139.756454,0,3
13,東京都,13101,千代田区,1.3101E+11,日比谷公園,35.673889,139.756191,0,1
13,東京都,13101,千代田区,1.3101E+11,霞が関一丁目,35.673944,139.752558,0,3
13,東京都,13101,千代田区,1.3101E+11,丸の内三丁目,35.676952,139.763476,0,3
13,東京都,13101,千代田区,1.3101E+11,有楽町二丁目,35.673888,139.76281,0,3
13,東京都,13101,千代田区,1.3101E+11,有楽町一丁目,35.674483,139.76055,0,3
13,東京都,13101,千代田区,1.3101E+11,霞が関二丁目,35.675551,139.750413,0,3
13,東京都,13101,千代田区,1.3101E+11,岩本町一丁目,35.692346,139.777635,0,3
13,東京都,13101,千代田区,1.3101E+11,神田西福田町,35.691334,139.774244,0,1
13,東京都,13101,千代田区,1.3101E+11,神田東紺屋町,35.692833,139.774711,0,1
13,東京都,13101,千代田区,1.3101E+11,神田北乗物町,35.692455,139.773897,0,1
13,東京都,13101,千代田区,1.3101E+11,神田富山町,35.693673,139.773588,0,1
13,東京都,13101,千代田区,1.3101E+11,神田鍛冶町三丁目,35.693613,139.770976,0,3
13,東京都,13101,千代田区,1.3101E+11,内神田二丁目,35.690601,139.768027,0,3
13,東京都,13101,千代田区,1.3101E+11,神田紺屋町,35.692021,139.774233,0,1
13,東京都,13101,千代田区,1.3101E+11,東神田二丁目,35.696189,139.780146,0,3
13,東京都,13101,千代田区,1.3101E+11,神田多町二丁目,35.693856,139.769189,0,3
13,東京都,13101,千代田区,1.3101E+11,内神田一丁目,35.69058,139.765604,0,3
13,東京都,13101,千代田区,1.3101E+11,神田司町二丁目,35.693464,139.767523,0,3
13,東京都,13101,千代田区,1.3101E+11,大手町二丁目,35.686301,139.768087,0,3
13,東京都,13101,千代田区,1.3101E+11,神田小川町二丁目,35.694696,139.764452,0,3
13,東京都,13101,千代田区,1.3101E+11,神田美土代町,35.693283,139.765581,0,1
